metro,utility,eiaid,sector,name,label,startdate_iso,enddate_iso,voltagecategory,phasewiring,peakkwcapacitymin,peakkwcapacitymax,peakkwhusagemin,peakkwhusagemax,has_energy_tou,has_demand_structure,has_flat_demand,fixedchargefirstmeter,fixedchargeunits,demandrateunit,is_default,uri
Columbus,Ohio Power Co,14006,Industrial,General Service Subtransmission Bundled (GS-4),5965118e5457a30c144c9f96,2017-06-01,,,,8000,,,,1,0,1,756.97,$/month,kW,,https://apps.openei.org/IURDB/rate/view/5965118e5457a30c144c9f96
Columbus,Ohio Power Co,14006,Industrial,General Service Transmission Bundled (GS-4),59650efb5457a302624c9f92,2017-06-01,,Transmission,,8000,,,,1,0,1,756.97,$/month,kW,,https://apps.openei.org/IURDB/rate/view/59650efb5457a302624c9f92
Austin,Austin Energy,1015,Commercial,Commercial - Primary Voltage 3 MW to 20 MW (Time of Use Option) - Inside,577ebfe65457a32f453068f0,2016-04-01,,Primary,,3000,20000,,,1,1,0,2000,$/month,kW,,https://apps.openei.org/IURDB/rate/view/577ebfe65457a32f453068f0
Austin,Austin Energy,1015,Commercial,Commercial - Primary Voltage 3 MW to 20 MW (Time of Use Option) - Outside Austin,577ec0dd5457a337603068ee,2016-04-01,,Primary,,3000,20000,,,1,1,0,2000,$/month,kW,,https://apps.openei.org/IURDB/rate/view/577ec0dd5457a337603068ee
Austin,Austin Energy,1015,Commercial,Commercial - Primary Voltage 3 MW to 20 MW - Inside,68b7b3db1cd5dc1bb40220b1,2025-05-01,,Primary,,3000,20000,,,1,0,1,2601,$/month,kW,False,https://apps.openei.org/IURDB/rate/view/68b7b3db1cd5dc1bb40220b1
Austin,Austin Energy,1015,Commercial,Commercial - Primary Voltage 3 MW to 20 MW - Outside Austin,68b7b8d71cd5dc1bb40220b2,2025-05-01,,Primary,,3000,20000,,,1,0,1,2601,$/month,kW,False,https://apps.openei.org/IURDB/rate/view/68b7b8d71cd5dc1bb40220b2
Phoenix,Arizona Public Service Co,803,Industrial,Extra Large General Service (E-34) Primary,69a70f94ae6e396355012f08,2026-02-01,,Primary,,3000,,,,1,0,1,8.833,$/day,,False,https://apps.openei.org/IURDB/rate/view/69a70f94ae6e396355012f08
Phoenix,Arizona Public Service Co,803,Industrial,Extra Large General Service (E-34) Secondary,69a70f467da20ea6b00d0239,2026-02-01,,Secondary,,3000,,,,1,0,1,5.682,$/day,,False,https://apps.openei.org/IURDB/rate/view/69a70f467da20ea6b00d0239
Phoenix,Arizona Public Service Co,803,Industrial,Extra Large General Service (E-34) Transmission,69a70fcaac5ca652b3030918,2026-02-01,,Transmission,,3000,,,,1,0,1,43.13,$/day,,False,https://apps.openei.org/IURDB/rate/view/69a70fcaac5ca652b3030918
Phoenix,Arizona Public Service Co,803,Industrial,Extra Large General Service TOU (E-35) Primary,69a70e64f0ddf5680f0728da,2026-02-01,,Primary,,3000,,,,1,1,0,8.833,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69a70e64f0ddf5680f0728da
Phoenix,Arizona Public Service Co,803,Industrial,Extra Large General Service TOU (E-35) Secondary,69a70c4cf0ddf5680f0728d9,2026-02-01,,Secondary,,3000,,,,1,1,0,5.682,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69a70c4cf0ddf5680f0728d9
Phoenix,Arizona Public Service Co,803,Industrial,Extra Large General Service TOU (E-35) Transmission,69a70e9f9e9024ec0902b34c,2026-02-01,,Transmission,,3000,,,,1,1,0,43.13,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69a70e9f9e9024ec0902b34c
Columbus,Ohio Power Co,14006,Commercial,"General Service Ohio Power Rate Zone (GS) - Transmission Over 2,000 kW",69dd331c54d2cac2040b696a,2026-04-10,,Transmission,,2000,,,,1,0,1,6824.71,$/month,kW,False,https://apps.openei.org/IURDB/rate/view/69dd331c54d2cac2040b696a
Columbus,Ohio Power Co,14006,Commercial,"General Service Ohio Power Rate Zone (GS) - Transmission Over 2,000 kW",69dd332c54d2cac2040b696b,2026-04-10,,Primary,,2000,,,,1,0,1,6826.34,$/month,kW,False,https://apps.openei.org/IURDB/rate/view/69dd332c54d2cac2040b696b
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,B-20 Maximum demand of (1000 KW or more) (Primary),69de94756c6b1b3352045e3d,2026-03-27,,Secondary,,1000,,,,1,1,1,110.32836,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69de94756c6b1b3352045e3d
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,B-20 Maximum demand of (1000 KW or more) (Secondary),69de9470f3508cead300dc5e,2026-03-27,,Secondary,,1000,,,,1,1,1,107.36636,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69de9470f3508cead300dc5e
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,B-20 Maximum demand of (1000 KW or more) (Transmission),69de947a81bf8b311c0576af,2026-03-27,,Secondary,,1000,,,,1,1,1,331.86645,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69de947a81bf8b311c0576af
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,B-20 Maximum demand of 1000KW or more Option R (Primary),69de95e32aa9e9994f0ed2bf,2026-03-27,,Primary,,1000,,,,1,1,1,110.32836,$/month,,False,https://apps.openei.org/IURDB/rate/view/69de95e32aa9e9994f0ed2bf
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,B-20 Maximum demand of 1000KW or more Option R (Secondary),69de95de81bf8b311c0576b0,2026-03-27,,Secondary,,1000,,,,1,1,1,107.36636,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69de95de81bf8b311c0576b0
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,B-20 Maximum demand of 1000KW or more Option R (Transmission)),69de95e8c3f455511f0635a1,2026-03-27,,Transmission,,1000,,,,1,1,1,331.86645,$/month,,False,https://apps.openei.org/IURDB/rate/view/69de95e8c3f455511f0635a1
